"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"JPEM","JPMorgan Diversified Return Emerging Markets Equity ETF","ETF","--","--","--","No","0.44%","0.44%","01/07/2015","+4.38%","+8.93%","+3.33%","+4.19%","+3.99%","+9.28%","+3.24%","+3.93%","04/30/2025","+4.47%","+10.47%","+3.81%","+4.06%","+3.86%","+10.53%","+3.70%","+3.79%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","4 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"ROAM","Hartford Multifactor Emerging Markets ETF","ETF","--","--","--","No","0.44%","0.44%","02/25/2015","+6.75%","+10.15%","+2.69%","+2.91%","+7.11%","+10.69%","+2.54%","+2.78%","04/30/2025","+5.32%","+12.00%","+3.05%","+2.78%","+5.15%","+12.14%","+3.02%","+2.68%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","5 stars out of 722 funds","4 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"DBEU","Xtrackers MSCI Europe Hedged Equity ETF","ETF","--","--","--","No","0.45%","0.45%","10/01/2013","+7.45%","+13.39%","+7.69%","+8.49%","+7.84%","+13.59%","+7.72%","+8.47%","04/30/2025","+7.49%","+14.80%","+7.79%","+8.61%","+7.65%","+15.16%","+7.82%","+8.62%","03/31/2025","Europe Stock","5 stars out of 82 funds","4 stars out of 82 funds","4 stars out of 81 funds","5 stars out of 58 funds","04/30/2025"
"DBEZ","Xtrackers MSCI Eurozone Hedged Equity ETF","ETF","--","--","--","No","0.45%","0.45%","12/10/2014","+10.49%","+15.04%","+8.04%","+9.32%","+11.17%","+15.25%","+8.11%","+9.84%","04/30/2025","+8.20%","+16.50%","+7.84%","+9.35%","+8.85%","+17.10%","+7.92%","+9.93%","03/31/2025","Europe Stock","4 stars out of 82 funds","4 stars out of 82 funds","5 stars out of 81 funds","4 stars out of 58 funds","04/30/2025"
"DBJP","Xtrackers MSCI Japan Hedged Equity ETF","ETF","--","--","--","No","0.45%","0.45%","06/09/2011","+2.20%","+18.01%","+8.88%","+11.60%","+2.88%","+18.25%","+8.98%","+11.56%","04/30/2025","+1.53%","+18.94%","+9.17%","+11.63%","+2.15%","+19.34%","+9.29%","+11.66%","03/31/2025","Japan Stock","4 stars out of 36 funds","4 stars out of 36 funds","4 stars out of 31 funds","4 stars out of 23 funds","04/30/2025"
"INEQ","Columbia International Equity Income ETF","ETF","--","--","--","No","0.45%","0.46%","06/13/2016","+11.77%","+13.50%","--","+7.73%","+13.30%","+13.80%","--","+7.94%","04/30/2025","+8.45%","+14.60%","--","+7.51%","+9.17%","+14.82%","--","+7.76%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","4 stars out of 337 funds","4 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"UEVM","VictoryShares Emerging Markets Value Momentum ETF","ETF","--","--","--","No","0.45%","0.52%","10/24/2017","+6.84%","+9.81%","--","+2.86%","+7.77%","+10.15%","--","+2.88%","04/30/2025","+9.22%","+11.94%","--","+2.79%","+10.06%","+12.10%","--","+2.92%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"CIL","VictoryShares International Volatility Wtd ETF","ETF","--","--","--","No","0.45%","0.60%","08/20/2015","+17.41%","+10.99%","--","+6.02%","+17.89%","+11.14%","--","+6.05%","04/30/2025","+8.35%","+11.09%","--","+5.50%","+8.61%","+11.38%","--","+5.55%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"GEM","Goldman Sachs ActiveBeta® Emerging Markets Equity ETF","ETF","--","--","--","No","0.45%","0.54%","09/25/2015","+8.62%","+5.85%","--","+5.51%","+9.25%","+6.20%","--","+5.76%","04/30/2025","+7.51%","+7.42%","--","+5.39%","+8.56%","+7.66%","--","+5.75%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"DWX","SPDR® S&P® International Dividend ETF","ETF","--","--","--","No","0.45%","0.45%","02/12/2008","+24.39%","+9.34%","+3.36%","+1.92%","+24.95%","+9.55%","+3.38%","+1.72%","04/30/2025","+13.17%","+8.96%","+3.61%","+1.51%","+13.89%","+9.04%","+3.67%","+1.34%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","2 stars out of 337 funds","2 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"APIE","ActivePassive International Equity ETF","ETF","--","--","--","No","0.45%","0.45%","05/02/2023","+13.32%","--","--","+12.80%","+13.67%","--","--","+13.01%","04/30/2025","+8.74%","--","--","+12.42%","+8.51%","--","--","+12.33%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"JHID","John Hancock International High Dividend ETF","ETF","--","--","--","No","0.46%","2.81%","12/20/2022","+13.84%","--","--","+15.76%","+14.75%","--","--","+15.85%","04/30/2025","+7.94%","--","--","+14.14%","+8.62%","--","--","+14.50%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"CGGO","Capital Group Global Growth Equity ETF","ETF","--","--","--","No","0.47%","0.47%","02/22/2022","+3.67%","--","--","+5.79%","+3.89%","--","--","+5.81%","04/30/2025","-0.80%","--","--","+5.54%","-0.56%","--","--","+5.67%","03/31/2025","Global Large-Stock Growth","4 stars out of 325 funds","4 stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"IQDY","FlexShares International Quality Dividend Dynamic Index Fund","ETF","--","--","--","No","0.47%","0.51%","04/12/2013","+12.76%","+12.95%","+5.86%","+6.15%","+13.39%","+13.23%","+5.87%","+6.21%","04/30/2025","+8.05%","+14.08%","+6.04%","+5.89%","+8.43%","+14.42%","+6.05%","+6.00%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","4 stars out of 222 funds","04/30/2025"
"IQDF","FlexShares International Quality Dividend Index Fund","ETF","--","--","--","No","0.47%","0.49%","04/12/2013","+13.62%","+11.51%","+4.54%","+4.76%","+14.45%","+11.80%","+4.56%","+4.82%","04/30/2025","+9.82%","+12.40%","+4.80%","+4.50%","+10.74%","+12.70%","+4.89%","+4.62%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","2 stars out of 312 funds","3 stars out of 222 funds","04/30/2025"
"IVEG","iShares Emergent Food and AgTech Multisector ETF","ETF","--","--","--","No","0.47%","0.47%","04/25/2022","+7.62%","--","--","-4.83%","+7.56%","--","--","-4.93%","04/30/2025","+1.35%","--","--","-5.21%","+1.46%","--","--","-5.23%","03/31/2025","Global Small/Mid Stock","2 stars out of 166 funds","2 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"CGDG","Capital Group Dividend Growers ETF","ETF","--","--","--","No","0.47%","0.47%","09/26/2023","+14.51%","--","--","+17.93%","+14.69%","--","--","+18.04%","04/30/2025","+10.37%","--","--","+17.90%","+10.34%","--","--","+18.10%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"CGGE","Capital Group Global Equity ETF","ETF","--","--","--","No","0.47%","0.47%","06/25/2024","--","--","--","+5.28%","--","--","--","+5.31%","04/30/2025","--","--","--","+3.27%","--","--","--","+3.63%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"JDIV","JPMorgan Dividend Leaders ETF","ETF","--","--","--","No","0.47%","0.47%","09/25/2024","--","--","--","-1.43%","--","--","--","-1.07%","04/30/2025","--","--","--","-1.23%","--","--","--","-0.93%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"JGLO","Jpmorgan Global Select Equity ETF","ETF","--","--","--","No","0.47%","0.47%","09/13/2023","+6.52%","--","--","+13.79%","+6.32%","--","--","+13.79%","04/30/2025","+3.67%","--","--","+15.78%","+4.67%","--","--","+15.87%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DXJ","WisdomTree Japan Hedged Equity Fund","ETF","--","--","--","No","0.48%","0.48%","06/16/2006","+2.78%","+23.05%","+10.03%","+7.21%","+3.35%","+23.27%","+10.14%","+7.22%","04/30/2025","+4.20%","+24.46%","+10.45%","+7.26%","+4.82%","+24.99%","+10.55%","+7.34%","03/31/2025","Japan Stock","5 stars out of 36 funds","5 stars out of 36 funds","5 stars out of 31 funds","5 stars out of 23 funds","04/30/2025"
"DOL","WisdomTree International LargeCap Dividend Fund","ETF","--","--","--","No","0.48%","0.48%","06/16/2006","+16.40%","+12.25%","+4.95%","+4.52%","+17.26%","+12.49%","+4.96%","+4.48%","04/30/2025","+9.55%","+12.45%","+4.95%","+4.30%","+10.22%","+12.53%","+5.00%","+4.29%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","4 stars out of 337 funds","3 stars out of 312 funds","4 stars out of 222 funds","04/30/2025"
"EMMF","WisdomTree Emerging Markets Multifactor Fund","ETF","--","--","--","No","0.48%","0.48%","08/10/2018","+4.47%","+9.38%","--","+3.67%","+4.01%","+9.82%","--","+3.77%","04/30/2025","+2.39%","+10.67%","--","+3.33%","+2.43%","+10.99%","--","+3.57%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","5 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"ILF","iShares Latin America 40 ETF","ETF","--","--","--","No","0.48%","0.48%","10/25/2001","-2.96%","+12.54%","+2.07%","+8.19%","-2.82%","+12.72%","+2.08%","+8.19%","04/30/2025","-11.48%","+12.43%","+2.45%","+7.97%","-11.52%","+12.53%","+2.46%","+7.96%","03/31/2025","Latin America Stock","4 stars out of 16 funds","4 stars out of 16 funds","4 stars out of 15 funds","3 stars out of 11 funds","04/30/2025"
"DDLS","WisdomTree Dynamic International SmallCap Equity ETF","ETF","--","--","--","No","0.48%","0.48%","01/07/2016","+11.17%","+12.34%","--","+8.17%","+11.19%","+12.58%","--","+8.10%","04/30/2025","+7.07%","+13.25%","--","+7.75%","+6.90%","+13.43%","--","+7.76%","03/31/2025","Foreign Small/Mid Value","3 stars out of 55 funds","3 stars out of 55 funds","3 stars out of 48 funds","-- stars out of 29 funds","04/30/2025"
"DWM","WisdomTree International Equity Fund","ETF","--","--","--","No","0.48%","0.48%","06/16/2006","+16.22%","+11.73%","+4.87%","+4.71%","+17.02%","+11.89%","+4.89%","+4.70%","04/30/2025","+9.03%","+12.00%","+4.84%","+4.47%","+9.92%","+12.26%","+4.89%","+4.50%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","3 stars out of 222 funds","04/30/2025"
"EPP","iShares MSCI Pacific ex Japan ETF","ETF","--","--","--","No","0.48%","0.48%","10/25/2001","+13.60%","+8.32%","+3.74%","+8.36%","+14.01%","+8.62%","+3.79%","+8.35%","04/30/2025","+7.11%","+9.83%","+3.79%","+8.23%","+6.95%","+9.51%","+3.84%","+8.21%","03/31/2025","Pacific/Asia ex-Japan Stk","3 stars out of 38 funds","3 stars out of 38 funds","4 stars out of 37 funds","3 stars out of 27 funds","04/30/2025"
"JPXN","iShares JPX-Nikkei 400 ETF","ETF","--","--","--","No","0.48%","0.48%","10/23/2001","+9.51%","+8.47%","+5.13%","+4.44%","+9.55%","+8.74%","+5.22%","+4.44%","04/30/2025","-0.25%","+8.64%","+5.07%","+4.26%","-0.46%","+8.85%","+5.03%","+4.26%","03/31/2025","Japan Stock","3 stars out of 36 funds","3 stars out of 36 funds","3 stars out of 31 funds","2 stars out of 23 funds","04/30/2025"
"OEUR","ALPS O'Shares Europe Quality Dividend ETF Shares","ETF","--","--","--","No","0.48%","0.48%","08/18/2015","+13.09%","+11.90%","--","+5.69%","+13.34%","+12.18%","--","+5.69%","04/30/2025","+4.05%","+11.67%","--","+5.16%","+4.04%","+12.12%","--","+5.19%","03/31/2025","Europe Stock","3 stars out of 82 funds","4 stars out of 82 funds","3 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"PIEQ","Principal International Equity ETF","ETF","--","--","--","No","0.48%","0.48%","11/06/2024","--","--","--","+6.83%","--","--","--","+7.35%","04/30/2025","--","--","--","+5.51%","--","--","--","+5.72%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"EDIV","SPDR® S&P Emerging Markets Dividend ETF","ETF","--","--","--","No","0.49%","0.49%","02/23/2011","+11.84%","+12.66%","+4.16%","+2.06%","+12.35%","+13.33%","+4.25%","+2.05%","04/30/2025","+10.86%","+14.39%","+4.91%","+1.91%","+11.02%","+14.69%","+4.94%","+1.92%","03/31/2025","Diversified Emerging Mkts","5 stars out of 722 funds","5 stars out of 722 funds","5 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"FRDM","Freedom 100 Emerging Markets ETF","ETF","--","--","--","No","0.49%","0.49%","05/22/2019","+12.67%","+13.52%","--","+8.79%","+13.12%","+13.72%","--","+8.90%","04/30/2025","+6.23%","+15.25%","--","+8.18%","+7.15%","+15.51%","--","+8.45%","03/31/2025","Diversified Emerging Mkts","5 stars out of 722 funds","4 stars out of 722 funds","5 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"FPAG","FPA Global Equity ETF","ETF","--","--","--","No","0.49%","1.03%","12/16/2021","+9.99%","--","--","+7.11%","+9.82%","--","--","+7.13%","04/30/2025","+5.96%","--","--","+7.19%","+5.94%","--","--","+7.31%","03/31/2025","Global Large-Stock Value","4 stars out of 147 funds","4 stars out of 147 funds","-- stars out of 134 funds","-- stars out of 114 funds","04/30/2025"
"GMF","SPDR® S&P Emerging Asia Pacific ETF","ETF","--","--","--","No","0.49%","0.49%","03/19/2007","+10.92%","+6.88%","+4.51%","+6.00%","+11.45%","+7.14%","+4.46%","+5.84%","04/30/2025","+13.53%","+8.96%","+5.22%","+6.05%","+13.70%","+8.82%","+5.19%","+5.92%","03/31/2025","Pacific/Asia ex-Japan Stk","4 stars out of 38 funds","4 stars out of 38 funds","4 stars out of 37 funds","4 stars out of 27 funds","04/30/2025"
"DVYA","iShares Asia/Pacific Dividend ETF","ETF","--","--","--","No","0.49%","0.49%","02/23/2012","+6.55%","+8.76%","+2.39%","+2.87%","+6.47%","+9.04%","+2.41%","+2.79%","04/30/2025","+4.69%","+11.17%","+2.43%","+2.74%","+4.46%","+10.98%","+2.48%","+2.67%","03/31/2025","Pacific/Asia ex-Japan Stk","3 stars out of 38 funds","4 stars out of 38 funds","5 stars out of 37 funds","2 stars out of 27 funds","04/30/2025"
"EEMA","iShares MSCI Emerging Markets Asia ETF","ETF","--","--","--","No","0.49%","0.49%","02/08/2012","+9.54%","+5.35%","+3.21%","+4.20%","+9.18%","+5.66%","+3.15%","+4.13%","04/30/2025","+10.00%","+7.12%","+3.92%","+4.24%","+10.62%","+7.34%","+3.87%","+4.22%","03/31/2025","Pacific/Asia ex-Japan Stk","3 stars out of 38 funds","3 stars out of 38 funds","3 stars out of 37 funds","2 stars out of 27 funds","04/30/2025"
"JHEM","John Hancock Multifactor Emerging Markets ETF","ETF","--","--","--","No","0.49%","0.58%","09/27/2018","+5.47%","+7.18%","--","+3.51%","+5.92%","+7.50%","--","+3.30%","04/30/2025","+5.35%","+8.97%","--","+3.42%","+5.81%","+8.94%","--","+3.36%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"VWID","Virtus WMC International Dividend ETF","ETF","--","--","--","No","0.49%","0.49%","10/10/2017","+20.20%","+12.32%","--","+8.07%","+20.34%","+12.22%","--","+7.95%","04/30/2025","+12.92%","+13.57%","--","+7.51%","+12.72%","+13.54%","--","+7.42%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"DVYE","iShares Emerging Markets Dividend ETF","ETF","--","--","--","No","0.49%","0.49%","02/23/2012","+11.31%","+5.95%","+1.68%","+0.94%","+11.73%","+6.28%","+1.78%","+0.88%","04/30/2025","+16.28%","+7.90%","+2.83%","+1.00%","+16.86%","+8.25%","+2.92%","+0.97%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","4 stars out of 722 funds","2 stars out of 639 funds","2 stars out of 440 funds","04/30/2025"
"IDV","iShares International Select Dividend ETF","ETF","--","--","--","No","0.49%","0.49%","06/11/2007","+23.38%","+12.54%","+5.09%","+3.21%","+23.34%","+12.71%","+5.08%","+3.09%","04/30/2025","+17.07%","+13.20%","+5.05%","+2.97%","+17.41%","+13.07%","+5.09%","+2.87%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","2 stars out of 337 funds","3 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"TEMP","JPMorgan Climate Change Solutions ETF","ETF","--","--","--","Yes","0.49%","0.49%","12/13/2021","+3.38%","--","--","-1.76%","+3.57%","--","--","-1.59%","04/30/2025","-2.55%","--","--","-2.94%","-3.01%","--","--","-3.00%","03/31/2025","Global Large-Stock Growth","2 stars out of 325 funds","2 stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"ECON","Columbia Research Enhanced Emerging Economies ETF","ETF","--","--","--","No","0.49%","0.49%","09/14/2010","+6.33%","+1.99%","-1.03%","+1.54%","+6.71%","+2.19%","-1.08%","+1.42%","04/30/2025","+6.25%","+3.32%","-0.85%","+1.52%","+6.73%","+3.47%","-0.83%","+1.45%","03/31/2025","Diversified Emerging Mkts","1 stars out of 722 funds","2 stars out of 722 funds","1 stars out of 639 funds","1 stars out of 440 funds","04/30/2025"
"SDG","iShares MSCI Global Sustainable Development Goals ETF","ETF","--","--","--","Yes","0.49%","0.49%","04/20/2016","-3.28%","+4.92%","--","+6.46%","-3.32%","+4.79%","--","+6.48%","04/30/2025","-6.25%","+6.53%","--","+6.45%","-6.34%","+6.45%","--","+6.49%","03/31/2025","Global Large-Stock Blend","1 stars out of 312 funds","1 stars out of 312 funds","1 stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DIVD","Altrius Global Dividend ETF","ETF","--","--","--","No","0.49%","0.49%","09/29/2022","+8.71%","--","--","+16.62%","+8.66%","--","--","+16.63%","04/30/2025","+6.34%","--","--","+18.03%","+6.32%","--","--","+18.06%","03/31/2025","Global Large-Stock Value","-- stars out of 147 funds","-- stars out of 147 funds","-- stars out of 134 funds","-- stars out of 114 funds","04/30/2025"
"PPIE","Putnam Panagora ESG International Equity ETF -","ETF","--","--","--","Yes","0.49%","0.49%","01/19/2023","+17.87%","--","--","+14.22%","+17.90%","--","--","+14.41%","04/30/2025","+9.06%","--","--","+12.06%","+9.67%","--","--","+12.54%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"RINT","International Developed Equity Active ETF","ETF","--","--","--","No","0.49%","0.59%","05/13/2025","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","--"
"ROIS","Hartford Multifactor International Small Company ETF","ETF","--","--","--","No","0.49%","0.49%","03/18/2024","+11.19%","--","--","+9.42%","+5.33%","--","--","+4.21%","04/30/2025","+4.79%","--","--","+5.10%","+3.71%","--","--","+4.55%","03/31/2025","Foreign Small/Mid Value","-- stars out of 55 funds","-- stars out of 55 funds","-- stars out of 48 funds","-- stars out of 29 funds","04/30/2025"
